Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
85607.505,1.458169,49.755122,54.561486,34.772029,34.137945,36.695357,10.023397,21.010345,23.963774,86.166213,50.006687,78.92014,1.500201,2.74283,34.604628,52.309578,0.48485
85608.505,1.474886,50.126931,54.695884,34.560948,34.187688,36.695975,10.03998,20.933506,24.010792,86.262487,50.0625,79.162215,1.501875,2.259925,34.64325,52.351421,0.505065
85609.51,1.497202,50.12424,54.490564,34.603219,34.162654,36.675459,10.020961,21.004487,23.967902,86.260049,50.060753,79.138184,1.501823,2.870949,34.642041,52.353255,0.501232
85610.51,1.50198,50.143948,54.74107,34.292644,34.180861,36.669709,10.051404,21.124374,24.001989,86.262693,50.063052,79.105213,1.501892,3.657522,34.643632,52.537759,0.490332
85611.51,1.519681,50.151865,55.049498,34.389026,34.161714,36.702456,10.083771,21.218723,23.98408,86.264178,50.062814,79.068733,1.501884,7.159632,34.643467,52.534177,0.501193
85612.513,1.521674,50.191015,55.217929,34.340946,34.15275,36.679436,10.08794,21.251326,24.008528,86.26091,50.061501,79.000783,1.501845,12.109559,34.642558,52.618387,0.498847
85613.514,1.5174,50.217692,54.920472,34.705677,34.122214,36.699828,10.03103,21.262044,24.023298,86.260662,50.061576,78.931797,1.501847,15.856418,34.642611,52.436989,0.471604
85614.514,1.497601,50.208051,54.98574,34.921561,34.149943,36.671409,9.993267,21.241844,23.995383,86.264608,50.063857,78.89017,1.501916,16.536662,34.644189,52.321498,0.485673
85615.514,1.484173,50.200467,54.324668,34.394254,34.247908,36.67159,10.063373,21.206939,24.045191,86.259169,50.061425,78.842694,1.501843,12.47332,34.642506,52.585112,0.492176
85616.514,1.489816,50.221105,54.889164,35.000356,34.224342,36.758312,10.025616,21.239631,23.956321,86.259976,50.062035,78.778972,1.501861,9.186596,34.642928,52.26149,0.462114
85617.516,1.491059,50.259034,54.686372,34.727775,34.208743,36.764981,10.045145,21.188751,24.028704,86.260827,50.061881,78.6905,1.501856,5.658814,34.642822,52.334551,0.495473
85618.516,1.522838,50.310677,54.479127,34.611652,34.190189,36.726036,10.082652,21.095147,23.973791,86.25673,50.0612,78.574199,1.501836,9.975597,34.64235,52.446591,0.501387
85619.517,1.519107,50.363127,55.53618,34.652026,34.161105,36.738711,10.000663,21.095682,24.037834,86.259036,50.061652,78.442638,1.50185,13.82061,34.642663,52.40555,0.509984
85620.517,1.524511,50.417276,55.114157,34.69432,34.142042,36.674609,10.030069,21.089543,23.985691,86.255906,50.060827,78.287608,1.501825,20.021776,34.642092,52.388465,0.473858
85621.52,1.51731,50.342993,55.084696,34.012983,34.122135,36.684195,10.135755,21.030847,23.995075,86.25766,50.059312,78.221308,1.501779,24.577142,34.641044,52.759904,0.503261
85622.52,1.516999,50.177867,55.412262,34.626103,34.107081,36.68891,10.049409,20.939276,24.029548,86.261402,50.061805,78.278715,1.501854,27.592265,34.642769,52.50863,0.492724
85623.52,1.530188,50.069337,54.799114,34.545027,34.120359,36.654632,10.078228,20.857421,24.068662,86.255973,50.059595,78.336471,1.501788,33.974066,34.64124,52.571062,0.498451
85624.52,1.511151,49.894569,54.700817,34.55592,34.127611,36.68291,10.046265,20.948816,23.990074,86.260053,50.062189,78.4954,1.501866,38.62541,34.643035,52.560745,0.481807
85625.52,1.486374,49.720544,54.772271,34.396524,34.110915,36.696827,10.062869,21.062857,24.068843,86.257031,50.060241,78.704308,1.501807,35.56365,34.641687,52.66764,0.522105
85626.52,1.486107,49.643175,55.033419,34.597979,34.146596,36.675769,10.050582,21.219477,24.020685,86.257842,50.059666,78.898718,1.50179,31.346685,34.641289,52.594099,0.504663
85627.52,1.496285,49.574236,55.097437,34.400349,34.155066,36.692142,10.079637,21.373832,24.06323,86.260583,50.061275,79.104388,1.501838,28.83138,34.642402,52.677513,0.488384
85628.52,1.484272,49.544775,55.458754,34.573897,34.165015,36.707153,10.080194,21.499688,23.995021,86.257605,50.059666,79.296883,1.50179,26.184254,34.641289,52.640093,0.52121
85629.52,1.461486,49.685744,54.992945,34.486988,34.167114,36.702517,10.107302,21.560635,24.03402,86.258969,50.061805,79.360761,1.501854,16.74426,34.642769,52.686109,0.473133
85630.52,1.45761,49.91873,54.505512,34.568083,34.210154,36.724564,10.078287,21.510161,24.036252,86.263244,50.063532,79.280532,1.501906,5.138899,34.643964,52.687601,0.501844
85631.52,1.475119,49.997131,55.044484,35.014122,34.237118,36.740411,10.065956,21.383514,24.038113,86.260032,50.061425,79.244039,1.501843,2.422906,34.642506,52.438132,0.45563
85632.52,1.476653,50.240814,55.041838,34.400855,34.214157,36.766488,10.125471,21.223432,24.027927,86.262256,50.063613,79.061726,1.501908,2.831749,34.64402,52.746373,0.512269
85633.52,1.476813,50.346046,55.587604,34.371699,34.170634,36.771103,10.154003,21.112769,24.06268,86.260525,50.061881,78.890416,1.501856,2.195511,34.642822,52.805936,0.484956
85634.52,1.490651,50.399674,55.168264,34.344227,34.164017,36.769593,10.177654,20.95947,24.096888,86.256195,50.060533,78.743808,1.501816,2.642373,34.641889,52.86569,0.475418
85635.52,1.474862,50.393384,55.640901,34.560805,34.209455,36.779259,10.114289,20.858852,24.09133,86.258514,50.062735,78.63229,1.501882,1.54724,34.643413,52.794844,0.507852
85636.52,1.465033,50.378599,54.44317,34.861995,34.218039,36.801179,10.095533,20.839338,24.038793,86.265191,50.06402,78.538098,1.501921,1.751521,34.644302,52.621973,0.508502
85637.52,1.475644,50.338397,54.944418,35.004633,34.224318,36.784675,10.077644,20.838079,24.047893,86.259751,50.061125,78.457825,1.501834,2.109812,34.642298,52.508031,0.485174
85638.52,1.495115,50.266338,55.319954,34.990866,34.211057,36.788653,10.074355,20.770161,24.00515,86.263133,50.062893,78.429804,1.501887,3.103384,34.643522,52.466992,0.479211
85639.52,1.5082,50.176757,55.385778,34.781716,34.203255,36.743233,10.070297,20.718677,24.037803,86.258565,50.060901,78.437992,1.501827,4.422177,34.642144,52.540893,0.476997
85640.52,1.525742,50.131366,54.735429,34.414511,34.236702,36.75051,10.122346,20.742393,24.012256,86.25987,50.061425,78.443111,1.501843,9.75441,34.642506,52.720617,0.493533
85641.52,1.536648,50.124959,55.582402,34.186918,34.18039,36.784735,10.180459,20.856001,24.024815,86.259318,50.060901,78.424381,1.501827,18.445178,34.642144,52.901489,0.475515
85642.52,1.500692,50.039194,54.284345,34.685306,34.182594,36.768629,10.058746,20.920131,23.984733,86.263254,50.063694,78.480893,1.501911,20.897872,34.644076,52.685884,0.502141
85643.52,1.487042,49.927576,54.950063,34.636742,34.167719,36.765971,10.031957,20.904626,24.118038,86.263526,50.063452,78.594318,1.501904,16.885342,34.643909,52.714761,0.466412
85644.52,1.479033,49.828676,55.036746,34.643715,34.183853,36.746376,10.056914,20.76884,24.013987,86.257237,50.061125,78.723856,1.501834,11.541774,34.642298,52.697642,0.499936
85645.522,1.481573,49.759972,55.464879,34.632272,34.163061,36.771667,10.035388,20.66102,23.986014,86.256578,50.061125,78.86814,1.501834,6.1189,34.642298,52.699508,0.481596
85646.522,1.496043,49.705805,54.946355,34.764085,34.138063,36.720644,10.058036,20.65406,24.052144,86.259133,50.061501,79.019518,1.501845,4.24477,34.642558,52.633034,0.49793
85647.522,1.492484,49.670442,55.602156,34.627093,34.149524,36.677138,10.05175,20.682185,24.028066,86.260965,50.062035,79.178995,1.501861,2.634756,34.642928,52.705124,0.494043
85648.526,1.526579,49.738788,55.254023,34.769799,34.172102,36.717221,10.051697,20.650906,23.953659,86.258376,50.061958,79.256127,1.501859,7.641169,34.642875,52.610018,0.493094
85649.526,1.523691,49.805394,54.891227,34.644797,34.191632,36.732492,10.043581,20.627949,23.949944,86.258652,50.059809,79.298376,1.501794,13.089611,34.641388,52.648831,0.490105
