Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
86143.245,1.464832,25.035703,52.9954,30.485299,33.79259,38.486299,10.035643,21.12353,23.843675,86.170437,25.007394,47.703757,1.500444,7.798198,30.408991,46.526944,0.479291
86144.245,1.462768,24.811788,53.280434,30.631593,33.875182,38.662876,10.040556,21.417386,23.908545,86.251768,25.031056,48.000921,1.501863,1.689089,30.437764,46.48345,0.480281
86145.245,1.463736,24.713213,52.535418,30.685271,33.746778,38.685251,10.049983,21.46898,23.879785,86.246495,25.030675,48.161511,1.50184,2.372223,30.437301,46.41708,0.477021
86146.245,1.472518,24.643052,53.03279,30.497888,33.82054,38.624469,10.043502,21.451381,23.88825,86.24935,25.030979,48.335906,1.501859,1.856076,30.43767,46.488427,0.475246
86147.245,1.468355,24.689158,53.456339,30.465167,33.710591,38.529815,10.032927,21.373175,23.879705,86.252633,25.03201,48.4353,1.501921,2.201818,30.438924,46.496061,0.479699
86148.245,1.456557,24.767332,52.766929,30.5172,33.697351,38.510316,10.039951,21.221371,23.820549,86.254662,25.031847,48.480238,1.501911,1.591991,30.438726,46.459825,0.484273
86149.245,1.465736,24.789527,52.912976,30.56345,33.78295,38.452549,10.025682,21.093282,23.915431,86.257163,25.031888,48.548117,1.501913,1.979747,30.438776,46.418314,0.476549
86150.245,1.475189,24.889824,52.978122,30.434173,33.83144,38.416754,10.050748,21.037724,23.878861,86.251427,25.031133,48.54133,1.501868,2.391556,30.437858,46.477765,0.491364
86151.245,1.48317,24.946493,52.336002,30.488424,33.768585,38.449688,10.028199,21.066637,23.878497,86.254626,25.030941,48.536197,1.501856,2.551155,30.437624,46.448599,0.471511
86152.246,1.483886,24.946892,53.310547,30.500442,33.733943,38.492864,10.038444,21.175579,23.841359,86.248729,25.03012,48.55935,1.501807,2.834033,30.436627,46.423113,0.487746
86153.246,1.46929,24.938909,53.090861,30.260004,33.74999,38.44856,10.045157,21.30634,23.808093,86.253221,25.031289,48.599527,1.501877,2.671784,30.438048,46.564539,0.461818
86154.246,1.496683,24.959566,53.129872,30.408956,33.898073,38.430975,10.044177,21.425604,23.878303,86.248993,25.031172,48.613412,1.50187,2.890061,30.437905,46.499071,0.476126
86155.247,1.51539,24.96513,53.138459,30.337965,33.82598,38.46306,10.048947,21.495791,23.87498,86.255286,25.032175,48.63476,1.501931,6.508175,30.439125,46.549199,0.481728
86156.252,1.51467,24.980442,53.222717,30.335788,33.720772,38.50523,10.034863,21.514462,23.901027,86.245684,25.030675,48.640739,1.50184,9.768768,30.437301,46.561543,0.470838
86157.252,1.516934,25.026577,52.70231,30.340378,33.834823,38.446679,10.054461,21.564254,23.921291,86.250146,25.031328,48.618603,1.50188,13.375016,30.438095,46.578223,0.47984
86158.252,1.520943,25.079379,52.705788,30.55142,33.740894,38.40641,10.041466,21.590726,23.886842,86.245045,25.02994,48.567714,1.501796,18.017514,30.436407,46.470915,0.477494
86159.253,1.523911,25.108206,53.010666,30.467984,33.765334,38.452703,10.052218,21.533783,23.858291,86.253899,25.03125,48.527915,1.501875,23.131572,30.438,46.520092,0.480846
86160.253,1.522586,25.132587,53.97856,30.302847,33.847896,38.411262,10.047236,21.391632,23.880911,86.247414,25.030788,48.478143,1.501847,28.361017,30.437438,46.618673,0.473073
86161.253,1.52399,25.125028,52.968474,30.32352,33.8005,38.410649,10.043192,21.232891,23.840376,86.252089,25.031807,48.451121,1.501908,33.908171,30.438677,46.635906,0.47424
86162.253,1.526226,25.078195,52.866361,30.523001,33.727394,38.443962,10.037472,21.06092,23.820052,86.24846,25.031646,48.460417,1.501899,39.964664,30.438481,46.539851,0.474758
86163.253,1.524056,25.080791,53.16329,30.182977,33.750516,38.417418,10.038968,20.897801,23.840319,86.249514,25.03125,48.443727,1.501875,45.753073,30.438,46.712069,0.485116
86164.253,1.522568,25.106522,53.412989,30.449452,33.872804,38.380611,10.035583,20.787029,23.891549,86.250945,25.030562,48.401568,1.501834,50.845334,30.437164,46.594623,0.477068
86165.253,1.507712,25.152141,53.232405,30.168641,33.788641,38.425677,10.032034,20.793437,23.847872,86.252642,25.03251,48.34046,1.501951,53.968089,30.439532,46.750191,0.467899
86166.253,1.497592,25.166649,52.842224,30.426623,33.670408,38.499029,10.030451,20.932582,23.877473,86.249429,25.031211,48.280771,1.501873,52.423183,30.437953,46.657147,0.47694
86167.253,1.496819,25.165913,52.433106,30.406112,33.762898,38.470793,10.019898,21.028373,23.826429,86.245861,25.030675,48.23288,1.50184,51.579269,30.437301,46.66217,0.468776
86168.253,1.481526,25.169131,52.753616,30.511266,33.862359,38.380641,10.025109,21.044451,23.927876,86.253101,25.0323,48.188352,1.501938,48.105998,30.439276,46.605214,0.491453
86169.253,1.453204,25.168526,52.975596,30.342232,33.881927,38.408847,10.036401,20.994146,23.885593,86.256495,25.032765,48.142854,1.501966,37.304662,30.439843,46.692641,0.475023
86170.253,1.430873,25.185483,52.1687,30.558182,33.819349,38.511554,10.013118,20.945067,23.876911,86.255731,25.03201,48.079868,1.501921,20.329694,30.438924,46.576133,0.470765
86171.262,1.425504,25.191667,54.05449,30.350218,33.867855,38.564274,10.048243,20.880785,23.906313,86.253456,25.031211,48.018883,1.501873,3.652677,30.437953,46.679404,0.477452
86172.266,1.423949,25.207273,51.734478,30.619642,33.791833,38.603982,10.052926,20.85794,23.856767,86.246283,25.030637,47.948097,1.501838,1.412223,30.437255,46.539685,0.482914
