Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
688560.683,1.46796,37.952952,53.416102,32.573477,71.712059,80.189188,10.66401,21.399705,24.256286,86.681894,37.504883,63.191415,1.500195,22.330677,32.504232,50.016056,0.499494
688561.684,1.452047,37.236051,53.81941,32.683875,71.61401,80.578604,10.667862,21.260382,24.280631,86.773903,37.543757,63.142476,1.50175,1.631539,32.537923,49.936944,0.499564
688562.684,1.454078,36.728297,53.395015,32.49992,71.570467,80.496425,10.648877,21.398476,24.263835,86.7715,37.544379,63.715278,1.501775,2.099499,32.538462,50.011551,0.505693
688563.684,1.470318,36.479624,53.901635,32.429648,71.621136,80.226387,10.672926,21.573604,24.329567,86.768339,37.544274,64.237598,1.501771,1.889672,32.538371,50.065614,0.50172
688564.684,1.47187,36.638994,53.061301,32.608466,71.48443,80.105027,10.645411,21.682829,24.327685,86.768966,37.543554,64.473595,1.501742,1.833574,32.537747,49.957293,0.507357
688565.684,1.474082,36.924126,53.669739,32.690406,71.431705,80.062095,10.646718,21.670158,24.296343,86.772392,37.543808,64.527424,1.501752,2.087123,32.537967,49.907825,0.50774
688566.685,1.485684,37.287946,53.755782,32.706328,71.592166,79.936435,10.655176,21.616586,24.311215,86.771482,37.54417,64.409258,1.501767,2.749811,32.53828,49.881255,0.508419
688567.685,1.48535,37.670498,53.26861,32.454128,71.794074,79.975353,10.647949,21.593415,24.263384,86.772206,37.543453,64.147729,1.501738,2.579847,32.537659,50.011549,0.488288
688568.685,1.487777,37.928765,53.011087,32.470446,71.700872,80.130515,10.660238,21.640307,24.307791,86.773077,37.544379,63.860532,1.501775,2.381389,32.538462,50.017251,0.501466
688569.685,1.487349,37.972986,53.563659,32.37176,71.761428,80.165709,10.654233,21.704098,24.357619,86.770767,37.543757,63.679156,1.50175,2.303251,32.537923,50.098273,0.499887
