Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
689387.21,1.502358,50.353528,52.538091,45.040055,75.281033,82.605617,10.037267,21.402454,24.367257,86.695999,50.01967,78.826155,1.50059,14.701254,45.017703,71.351914,0.476233
689388.21,1.510125,50.547053,52.466361,45.071708,75.136795,82.613899,10.059111,21.610207,24.448374,86.764647,50.059172,78.497504,1.501775,18.01604,45.053254,71.418329,0.492234
689389.212,1.510673,50.551173,52.632371,44.938193,75.087356,82.502784,10.054747,21.685063,24.429377,86.763795,50.059809,78.325931,1.501794,19.922712,45.053828,71.50515,0.483899
689390.212,1.521621,50.478054,52.709033,45.152194,75.267151,82.477747,10.043253,21.740226,24.502288,86.76018,50.058754,78.223122,1.501763,23.937968,45.052879,71.390197,0.490261
689391.212,1.5273,50.387034,52.688082,44.949256,75.275795,82.620521,10.01409,21.758151,24.421116,86.759314,50.059102,78.161275,1.501773,30.716941,45.053191,71.483062,0.473787
689392.216,1.525086,50.376104,52.87337,44.985644,75.427321,82.687273,10.032233,21.686829,24.428871,86.762462,50.058548,78.059526,1.501756,36.559686,45.052693,71.488197,0.474137
689393.216,1.506025,49.997417,52.670628,45.081282,75.203998,82.792482,10.030298,21.601157,24.468665,86.76239,50.058824,78.292941,1.501765,38.600629,45.052941,71.448022,0.47908
689394.216,1.491382,49.796561,52.76518,45.038006,75.401538,82.675789,10.024677,21.605475,24.413142,86.760898,50.058893,78.499311,1.501767,37.073467,45.053004,71.454292,0.477032
689395.216,1.484875,49.595033,52.32582,45.01247,75.295826,82.790533,10.022443,21.635901,24.46106,86.76227,50.057803,78.766111,1.501734,32.803392,45.052023,71.473808,0.470476
689396.219,1.481967,49.451091,52.568917,45.100763,75.075767,82.659286,10.053794,21.630706,24.416971,86.758215,50.058207,79.059019,1.501746,28.638473,45.052386,71.411547,0.489079
689397.219,1.46744,49.444027,53.196425,44.90499,75.334979,82.52694,10.051431,21.635258,24.470256,86.762282,50.058754,79.278128,1.501763,20.428543,45.052879,71.512876,0.486282
689398.219,1.468447,49.595881,53.242291,45.189297,75.445139,82.601907,10.051158,21.696355,24.406653,86.760606,50.058893,79.349891,1.501767,11.604462,45.053004,71.390244,0.477226
689399.219,1.470521,49.858306,52.702247,45.169554,75.379432,82.704874,10.043206,21.759834,24.35204,86.764368,50.059102,79.276692,1.501773,4.097615,45.053191,71.366599,0.487567
689400.219,1.470292,50.152678,52.784295,45.212272,75.312093,82.679038,10.026941,21.759814,24.463589,86.765185,50.059032,79.075734,1.501771,1.922838,45.053129,71.326545,0.479839
689401.219,1.479261,50.392033,52.804782,45.175505,75.252612,82.612311,10.026032,21.680378,24.410142,86.761642,50.058824,78.823474,1.501765,1.714527,45.052941,71.318857,0.481277
689402.219,1.486975,50.551311,52.418676,45.088202,75.025303,82.601101,10.030485,21.579479,24.43783,86.76263,50.059102,78.564416,1.501773,2.323325,45.053191,71.349702,0.476206
689403.219,1.499312,50.573303,52.976739,45.105594,75.085527,82.432548,10.043185,21.55249,24.453193,86.764913,50.057405,78.370689,1.501722,4.654588,45.051665,71.324219,0.481403
689404.219,1.506376,50.556573,52.906591,45.181976,75.052507,82.354751,10.041483,21.596722,24.397064,86.763609,50.058893,78.21233,1.501767,5.849523,45.053004,71.271143,0.490026
689405.22,1.506337,50.637684,52.758875,45.067118,74.89791,82.408967,10.049612,21.677582,24.412513,86.761612,50.058411,77.969795,1.501752,6.94242,45.05257,71.308783,0.489888
689406.22,1.509662,50.609288,52.687815,45.170268,75.071599,82.326708,10.056663,21.754664,24.385797,86.763201,50.058824,77.794851,1.501765,8.97223,45.052941,71.245239,0.482048
689407.22,1.517364,50.486894,52.86706,45.087565,75.069803,82.563724,10.033334,21.824324,24.414234,86.762325,50.058207,77.715067,1.501746,12.038085,45.052386,71.259253,0.481942
689408.22,1.529788,50.300001,53.267942,44.938887,74.834301,82.568583,10.069639,21.863175,24.349644,86.760977,50.058207,77.732849,1.501746,18.869222,45.052386,71.347301,0.475287
689409.22,1.512291,50.019685,52.461102,45.255367,75.073365,82.420812,10.042465,21.80454,24.407712,86.762168,50.058617,77.905775,1.501758,22.720463,45.052755,71.171488,0.491995
689410.223,1.508389,49.654196,53.181901,45.156154,74.882976,82.493921,10.048873,21.645248,24.459194,86.76097,50.059453,78.252675,1.501784,24.116217,45.053508,71.210295,0.483549
689411.223,1.510562,49.435166,53.580993,45.115323,74.924152,82.399388,10.045796,21.42824,24.370211,86.762926,50.058824,78.596722,1.501765,26.017688,45.052941,71.222406,0.492155
689412.223,1.511052,49.3802,52.626122,45.165599,75.045458,82.335953,10.045957,21.302981,24.411338,86.763053,50.058754,78.861862,1.501763,28.575673,45.052879,71.179311,0.488121
689413.223,1.509971,49.508268,52.851884,45.13453,74.908454,82.391197,10.03014,21.28735,24.377397,86.760134,50.058005,78.981161,1.50174,30.863835,45.052204,71.168856,0.476192
689414.223,1.510945,49.545238,52.824451,45.032,74.915146,82.314192,10.037503,21.291891,24.419219,86.758765,50.058072,79.130803,1.501742,32.893291,45.052265,71.226324,0.482463
689415.226,1.510863,49.766474,52.44783,45.105438,74.893502,82.29011,10.043128,21.238457,24.401074,86.762927,50.05814,79.111475,1.501744,35.486472,45.052326,71.185052,0.489
689416.226,1.504775,49.9077,51.864541,45.105839,74.966076,82.257696,10.031772,21.220073,24.405416,86.76249,50.058343,79.083754,1.50175,36.509673,45.052509,71.172091,0.48643
689417.226,1.499655,50.007983,52.640768,45.00971,75.012489,82.358151,10.042134,21.29654,24.366854,86.764603,50.058343,79.04103,1.50175,36.505347,45.052509,71.211106,0.469215
689418.227,1.506545,50.002267,52.575887,45.302577,75.027165,82.395439,10.038813,21.432581,24.40412,86.765476,50.059172,79.062663,1.501775,36.952405,45.053254,71.075619,0.482529
689419.227,1.502689,49.995859,53.049331,45.11743,75.000915,82.395692,10.02893,21.593014,24.417794,86.764448,50.058893,79.087839,1.501767,37.589079,45.053004,71.134926,0.483765
689420.227,1.481502,50.110651,52.586114,45.154549,74.888709,82.379234,10.027733,21.740857,24.476941,86.761203,50.05848,79.009158,1.501754,34.783878,45.052632,71.107872,0.487333
689421.227,1.458845,50.149447,52.669503,44.827788,75.006031,82.298072,10.052926,21.822321,24.44334,86.761773,50.059242,78.952938,1.501777,23.666576,45.053318,71.282669,0.487507
