Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
689864.91,1.494353,49.380609,53.382632,20.037531,67.261121,73.401125,9.991664,21.141191,24.340213,86.771942,50.066401,79.17336,1.501992,35.559081,20.02656,32.204943,0.482089
689865.91,1.488089,49.300394,52.578071,20.028797,67.288748,73.341545,9.98052,21.143193,24.353382,86.764198,50.059595,79.465273,1.501788,32.261808,20.023838,32.211844,0.485536
689866.91,1.488064,49.422954,53.245249,20.098675,67.118871,73.362809,9.960107,21.275895,24.314445,86.75823,50.05848,79.613155,1.501754,28.839744,20.023392,32.175639,0.484146
689867.91,1.487863,49.518984,52.866034,19.970587,67.098523,73.224546,9.990405,21.45465,24.269371,86.758542,50.057737,79.735217,1.501732,25.31447,20.023095,32.238523,0.483858
689868.916,1.483933,49.630393,53.257754,19.991924,67.099148,73.217091,9.974492,21.577639,24.269945,86.759198,50.058411,79.834607,1.501752,21.632728,20.023364,32.222864,0.477416
689869.916,1.45107,50.023556,53.380312,19.984201,67.001551,73.185663,9.940935,21.62501,24.241713,86.759467,50.058685,79.615132,1.501761,10.055844,20.023474,32.238504,0.486401
689870.919,1.449105,50.180181,52.889502,19.932202,66.933173,73.121724,9.971579,21.596198,24.293481,86.758482,50.057937,79.480142,1.501738,1.858824,20.023175,32.283572,0.470253
689871.919,1.451034,50.265228,52.512997,20.17029,67.034159,73.07464,9.946967,21.473745,24.280949,86.757499,50.058072,79.358646,1.501742,1.560575,20.023229,32.135701,0.461694
689872.919,1.470086,50.324658,53.137317,20.298549,66.995539,73.147088,9.980908,21.346614,24.327975,86.758554,50.05848,79.232438,1.501754,2.996935,20.023392,32.053511,0.476594
689873.919,1.48541,50.305341,52.582398,20.041874,67.033114,73.091225,9.984802,21.242333,24.261689,86.759159,50.058754,79.156763,1.501763,3.403131,20.023502,32.160492,0.482284
689874.919,1.489759,50.227036,52.380922,20.12212,67.021075,73.131705,9.970551,21.169976,24.276699,86.756581,50.058411,79.142535,1.501752,2.417481,20.023364,32.104229,0.482384
689875.92,1.488311,50.157223,52.456207,20.101133,67.073702,73.09457,9.963673,21.103974,24.297959,86.761338,50.058411,79.148492,1.501752,2.81397,20.023364,32.11348,0.475182
689876.92,1.48963,50.074505,52.537953,20.071446,67.078012,73.147783,9.963525,21.024534,24.283284,86.763379,50.058824,79.194144,1.501765,2.057064,20.023529,32.103817,0.477159
689877.92,1.490358,50.092607,53.20025,19.832842,67.090509,73.174304,9.960867,21.033586,24.292282,86.764607,50.059242,79.17578,1.501777,4.510665,20.023697,32.246667,0.472015
689878.92,1.493976,50.171947,53.698096,20.113022,67.033257,73.142537,9.943613,21.16557,24.253996,86.761683,50.058962,79.091684,1.501769,4.092645,20.023585,32.121186,0.483052
689879.92,1.492934,50.252193,53.258998,19.826671,67.079153,73.101837,9.964071,21.327968,24.276436,86.763157,50.058893,78.980904,1.501767,3.082592,20.023557,32.249061,0.462895
689880.922,1.499286,50.395794,53.354195,20.038559,67.054576,73.140225,9.951994,21.426262,24.288429,86.758632,50.057604,78.776001,1.501728,2.242719,20.023041,32.178078,0.466744
689881.922,1.50211,50.391742,52.15014,20.006374,67.115001,73.138864,9.991184,21.422194,24.308129,86.754707,50.057339,78.666104,1.50172,3.410174,20.022936,32.189553,0.471792
