Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
690526.073,1.513546,36.471234,52.284335,32.435079,70.570462,79.223346,9.973364,21.164192,24.273852,86.737903,37.524256,64.260213,1.50097,8.092294,32.521022,49.558067,0.472612
690527.073,1.516284,36.647544,52.249361,32.264906,70.627693,79.038489,9.981316,21.288586,24.292846,86.786106,37.54417,64.729626,1.501767,15.030467,32.53828,49.704795,0.470382
690528.078,1.523779,37.021578,52.065143,32.510723,70.388219,79.055329,9.977337,21.288787,24.329905,86.78099,37.543554,64.688248,1.501742,19.628468,32.537747,49.613269,0.464878
690529.078,1.521138,37.590226,51.645796,32.636535,70.584984,78.91602,9.96804,21.356039,24.310205,86.786697,37.543353,64.35012,1.501734,25.732874,32.537572,49.540382,0.47493
690530.079,1.498542,38.002899,52.069867,32.463037,70.348778,78.93197,9.984628,21.401672,24.374177,86.784015,37.543706,63.959954,1.501748,25.465295,32.537879,49.643351,0.482026
690531.079,1.499078,38.296541,52.301488,32.426877,70.483537,78.904156,9.965627,21.408767,24.36514,86.785148,37.543757,63.527911,1.50175,24.654999,32.537923,49.678469,0.476674
690532.079,1.498825,38.34433,51.590744,32.56413,70.161001,78.878196,9.958837,21.376771,24.355872,86.78452,37.543554,63.226103,1.501742,24.074295,32.537747,49.600398,0.478548
690533.079,1.501453,38.362741,51.83408,32.648121,70.069949,78.784721,9.953621,21.334874,24.350763,86.787575,37.543962,62.934719,1.501758,23.831965,32.538101,49.55507,0.465114
690534.079,1.502984,38.280387,52.667936,32.747797,70.332908,78.855873,9.952617,21.294588,24.335559,86.787394,37.544326,62.726891,1.501773,23.858134,32.538416,49.477013,0.4795
690535.08,1.505589,37.91981,51.958701,32.724362,70.141682,79.081322,9.958264,21.282177,24.322248,86.783454,37.544222,62.797218,1.501769,24.494982,32.538325,49.462804,0.472215
690536.08,1.502078,37.444805,51.823032,32.702389,70.264811,79.124543,9.969684,21.274529,24.333046,86.784223,37.543503,63.09725,1.50174,25.053699,32.537703,49.443171,0.482108
690537.08,1.493888,37.006568,51.729039,32.433328,70.309417,79.085865,9.984792,21.262092,24.374944,86.781347,37.543554,63.53847,1.501742,23.405888,32.537747,49.579482,0.462222
690538.082,1.49462,36.484906,52.398186,32.529442,70.299871,79.064254,9.976345,21.284431,24.343148,86.780985,37.543808,64.20136,1.501752,21.585254,32.537967,49.532095,0.476828
690539.082,1.494707,36.320477,51.757459,32.502633,70.164487,78.901207,9.967944,21.337379,24.322275,86.781435,37.544066,64.716767,1.501763,19.618192,32.53819,49.556329,0.471537
690540.082,1.49758,36.44352,52.104053,32.423129,70.358062,78.696566,9.975184,21.405901,24.357054,86.780433,37.544014,65.045423,1.501761,18.642917,32.538146,49.607503,0.479295
690541.083,1.4999,37.043965,51.570956,32.539579,70.414511,78.755618,9.962114,21.447854,24.304834,86.784682,37.544222,64.861706,1.501769,18.043525,32.538325,49.555033,0.474782
690542.083,1.499005,37.702254,52.501842,32.32986,70.403499,78.734728,9.952509,21.44528,24.291085,86.783975,37.544431,64.43828,1.501777,17.451874,32.538507,49.686363,0.460896
690543.083,1.497417,38.30062,51.357304,32.641603,70.718392,78.759575,9.964018,21.449077,24.354001,86.784809,37.544431,63.838349,1.501777,16.675803,32.538507,49.529137,0.485498
690544.083,1.492279,38.591688,51.4889,32.607828,70.58088,78.912165,9.962565,21.535465,24.349328,86.78336,37.543303,63.30586,1.501732,14.193685,32.537529,49.536933,0.466075
690545.083,1.489414,38.596748,52.417171,32.291998,70.46591,79.022926,9.98354,21.618359,24.281145,86.786814,37.544014,62.943891,1.501761,11.35397,32.538146,49.709729,0.476686
690546.083,1.499025,38.820103,52.003725,32.704109,70.740276,79.216802,9.970586,21.684995,24.313572,86.780057,37.543757,62.37448,1.50175,9.771496,32.537923,49.503089,0.481289
690547.083,1.503311,38.310832,52.409885,32.445834,70.755831,79.407412,9.97584,21.699909,24.325248,86.783844,37.543757,62.397005,1.50175,10.250723,32.537923,49.634979,0.469529
690548.083,1.497905,37.706678,51.990585,32.537643,70.61457,79.465502,9.982506,21.698594,24.331137,86.780787,37.54417,62.681225,1.501767,9.827886,32.53828,49.601022,0.472539
