Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
691203.852,1.496042,39.39627,51.597564,45.262353,74.848674,83.793626,9.841109,21.415654,24.319704,86.712942,39.604954,65.477913,1.500188,10.123135,45.00563,74.393376,0.467608
691204.852,1.50863,39.123336,51.567521,45.316344,74.734629,83.669736,9.842778,21.600058,24.378472,86.803248,39.646643,66.89597,1.501767,22.119401,45.053004,74.242995,0.467927
691205.852,1.505269,39.773188,51.986861,45.257457,74.747818,83.646093,9.861573,21.564933,24.414721,86.801858,39.646864,66.520672,1.501775,23.08699,45.053254,74.237352,0.483868
691206.852,1.506429,40.154589,51.523755,45.345952,74.716001,83.56063,9.863379,21.424755,24.450212,86.800938,39.646753,66.101811,1.501771,24.147011,45.053129,74.151737,0.470743
691207.852,1.493823,40.247494,51.652869,45.162079,74.61753,83.481555,9.875293,21.230261,24.378391,86.804943,39.646919,65.837838,1.501777,23.186368,45.053318,74.197326,0.469796
691208.852,1.493445,40.25621,52.309331,45.319564,74.675234,83.459857,9.870767,21.134438,24.441564,86.804685,39.646424,65.623531,1.501758,20.582863,45.052755,74.092784,0.474791
691209.852,1.497054,40.25502,51.444161,45.36594,74.81048,83.382576,9.871252,21.110418,24.475094,86.800989,39.644746,65.409862,1.501695,19.051051,45.050847,74.024126,0.467802
691210.859,1.496232,40.31032,51.844833,45.287866,74.763494,83.490372,9.853392,21.070058,24.434144,86.804665,39.646262,65.160037,1.501752,17.863931,45.05257,74.016873,0.465312
691211.859,1.494881,40.416608,51.594926,45.195258,74.83237,83.669315,9.852453,20.983693,24.415245,86.805153,39.647031,64.837073,1.501781,16.544871,45.053444,74.008047,0.468855
691212.859,1.491447,40.318718,50.990975,45.534201,74.646113,83.886785,9.858551,20.998358,24.350293,86.80386,39.646262,64.643838,1.501752,13.872738,45.05257,73.7984,0.475205
691213.859,1.490215,39.930647,51.568987,45.422661,74.691665,83.870126,9.848466,21.158509,24.422253,86.802589,39.646533,64.754254,1.501763,11.105942,45.052879,73.769399,0.476403
691214.859,1.49406,39.702523,51.21697,45.419945,74.687229,83.919931,9.841183,21.41894,24.459297,86.802422,39.645413,64.885275,1.50172,8.839608,45.051606,73.712656,0.471558
691215.859,1.495967,39.186147,51.746525,45.293392,74.599991,83.829355,9.836386,21.601483,24.484641,86.805255,39.646643,65.289547,1.501767,7.588143,45.053004,73.718782,0.466731
