Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
691960.913,1.40813,25.293347,53.479834,20.069308,63.391633,73.888635,9.856551,21.014383,24.320866,86.727764,25.009664,48.849457,1.50058,1.257656,20.007731,31.999882,0.470844
691961.913,1.418566,25.343524,54.251978,20.038231,63.542372,74.003551,9.851781,21.008714,24.347037,86.797883,25.029274,48.650002,1.501756,1.52169,20.023419,32.030348,0.464505
691962.913,1.435619,25.342158,53.779918,20.130895,63.525173,73.89721,9.834743,21.198963,24.36173,86.795363,25.028835,48.541592,1.50173,1.531372,20.023068,31.976557,0.464861
691963.913,1.448277,25.342784,53.259445,19.987703,63.376191,73.995377,9.858752,21.396575,24.33395,86.794661,25.028868,48.434569,1.501732,1.687655,20.023095,32.050577,0.453518
691964.914,1.454998,25.365533,53.361196,19.980309,63.302896,74.024318,9.863901,21.405911,24.334377,86.798553,25.029481,48.308126,1.501769,2.618277,20.023585,32.046988,0.460087
691965.914,1.457909,25.328961,53.738828,20.009828,63.374063,74.029796,9.857167,21.370528,24.413507,86.794871,25.029446,48.223987,1.501767,1.845719,20.023557,32.046666,0.474043
691966.915,1.461425,25.196594,54.244297,20.074119,63.194187,74.130553,9.843823,21.407442,24.467686,86.796166,25.029656,48.239902,1.501779,1.567447,20.023725,32.008902,0.458559
691967.916,1.461546,25.165761,53.117493,20.164514,63.199312,74.257636,9.830449,21.550719,24.375535,86.793393,25.02867,48.212198,1.50172,1.880686,20.022936,31.948291,0.463594
691968.916,1.467827,24.718153,53.606927,20.180949,63.21898,74.190358,9.856643,21.632601,24.392661,86.796095,25.029206,48.563625,1.501752,1.988491,20.023364,31.912284,0.480259
691969.916,1.468005,24.438101,53.926813,20.154218,63.206762,74.1623,9.836115,21.601768,24.416342,86.800997,25.029274,48.92459,1.501756,2.182477,20.023419,31.914103,0.474255
691970.916,1.471288,24.197459,54.200634,20.07554,63.163383,74.117055,9.856215,21.520044,24.398054,86.799637,25.029377,49.352262,1.501763,1.967208,20.023502,31.912476,0.45443
691971.916,1.483186,24.219323,53.409353,20.011156,63.045701,73.774049,9.86674,21.485356,24.370226,86.797669,25.029308,49.62716,1.501758,2.548774,20.023447,31.96155,0.458754
691972.916,1.502647,24.233657,54.119756,20.061858,63.219953,73.69839,9.856523,21.456721,24.412624,86.797733,25.029036,49.885048,1.501742,4.224438,20.023229,31.939862,0.476411
691973.916,1.499254,24.634926,53.670733,19.903329,63.162145,73.655432,9.843296,21.433093,24.393348,86.796789,25.029206,49.812811,1.501752,3.828134,20.023364,32.013596,0.472955
691974.92,1.495437,25.001801,53.333215,20.109537,62.932711,73.692258,9.865128,21.421307,24.356697,86.796184,25.028868,49.60238,1.501732,2.514215,20.023095,31.926956,0.472704
691975.923,1.496526,25.247125,53.976148,19.903228,63.372273,73.637926,9.843609,21.487911,24.333653,86.798779,25.029343,49.387833,1.501761,3.254103,20.023474,32.039075,0.459224
691976.925,1.500618,25.356181,53.088495,20.051494,63.064664,73.535995,9.864354,21.522764,24.339643,86.796815,25.02924,49.208654,1.501754,4.084374,20.023392,31.962355,0.464405
691977.925,1.500019,25.369179,53.868076,19.795219,62.867517,73.709441,9.874582,21.501049,24.326578,86.801787,25.029797,49.084629,1.501788,4.666623,20.023838,32.106793,0.472822
691978.925,1.502425,25.38672,53.284108,19.728664,62.935251,73.637748,9.840598,21.44759,24.378557,86.796758,25.029377,48.951927,1.501763,4.823661,20.023502,32.177785,0.463169
691979.925,1.510275,25.434536,53.942652,19.902437,63.072874,73.501929,9.858396,21.392124,24.384209,86.797035,25.029343,48.786682,1.501761,6.171966,20.023474,32.13884,0.478117
691980.925,1.512551,25.463942,53.641378,19.922646,62.922663,73.470707,9.837899,21.390572,24.396211,86.800635,25.029343,48.620084,1.501761,9.030081,20.023474,32.132304,0.470215
691981.925,1.522358,25.468297,53.933797,20.054101,62.730583,73.548383,9.86405,21.430884,24.375045,86.798083,25.02924,48.46696,1.501754,13.746288,20.023392,32.070116,0.479151
691982.925,1.52625,25.486053,53.877085,20.033441,62.860883,73.489418,9.846391,21.485183,24.370931,86.7969,25.028703,48.298605,1.501722,19.806311,20.022962,32.067669,0.479293
691983.925,1.531798,25.433781,53.071087,19.889259,63.129746,73.510594,9.838641,21.534738,24.357094,86.798521,25.029138,48.185745,1.501748,27.01995,20.02331,32.160171,0.46544
691984.925,1.535477,25.418819,53.925228,19.967005,63.163787,73.727714,9.85833,21.567324,24.360721,86.798888,25.029586,48.065451,1.501775,35.296433,20.023669,32.140244,0.470775
691985.925,1.530311,25.040604,53.441985,19.948001,62.985648,73.963764,9.853507,21.542163,24.343636,86.799622,25.029516,48.254193,1.501771,42.890884,20.023613,32.167088,0.46965
